registration,hex,type,model,msn,active_from,active_to,source,note
C-FACJ,c0003e,B757-200,757-223,29594,2021-06-18,,TC CCAR 20260913,Registered
C-FCJF,c00638,B757-200,757-223,32382,2022-10-21,,TC CCAR 20260913,Registered
C-FCJP,c00642,B757-200,757-256,26251,2022-07-08,,TC CCAR 20260913,Registered
C-FFPA,c00ebb,B757-200,757-223,32392,2023-10-31,,TC CCAR 20260913,Registered
C-FGKJ,c010e6,B757-200,757-223,25298,2014-12-30,,TC CCAR 20260913,Registered
C-FKAJ,c01a72,B757-200,757-23A,24566,2014-03-12,,TC CCAR 20260913,Registered
C-FKCJ,c01aa6,B757-200,757-236,24792,2008-03-10,,TC CCAR 20260913,Registered
C-FLAJ,c01d16,B757-200,757-23A,24567,2014-09-05,,TC CCAR 20260913,Registered
C-FLPA,c01e93,B757-200,757-223,29591,2023-10-18,,TC CCAR 20260913,Registered
C-GAJU,c045a7,B757-200,757-204,28836,2022-05-06,,TC CCAR 20260913,Registered
C-GCJB,c04adc,B757-200,757-2G5,30394,2023-01-10,,TC CCAR 20260913,Registered
C-GCJS,c04aed,B757-200,757-2G5,29379,2022-08-11,,TC CCAR 20260913,Registered
C-GCJT,c04aee,B757-200,757-223,24605,2017-04-26,,TC CCAR 20260913,Registered
C-GCJY,c04af3,B757-200,757-223,25697,2023-04-13,,TC CCAR 20260913,Registered
C-GIAJ,c059d2,B757-200,757-28A,23767,2014-03-03,,TC CCAR 20260913,Registered
C-GTCJ,c07712,B757-200,757-223,25730,2018-06-21,,TC CCAR 20260913,Registered
C-FHCJ,c012ba,B767-200,767-224,30431,2020-02-04,,TC CCAR 20260913,Registered
C-FOIJ,c025d2,B767-200,767-224,30430,2020-04-08,,TC CCAR 20260913,Registered
C-FCAE,c0054d,B767-300,767-375,24083,2020-01-21,,TC CCAR 20260913,Registered
C-FCCJ,c00586,B767-300,767-323,25197,2017-10-27,,TC CCAR 20260913,Registered
C-FCPD,c006d2,B767-300,767-316,27613,2023-08-08,,TC CCAR 20260913,Registered
C-FDIJ,c008c6,B767-300,767-39H,26257,2015-04-02,,TC CCAR 20260913,Registered
C-FGSJ,c011b6,B767-300,767-39H,26256,2015-01-16,,TC CCAR 20260913,Registered
C-FLPD,c01e96,B767-300,767-35D,27902,2026-08-13,,TC CCAR 20260913,Registered
C-FMAJ,c01fba,B767-300,767-323,24040,2022-02-08,,TC CCAR 20260913,Registered
C-FMIJ,c0208a,B767-300,767-328,27135,2015-09-11,,TC CCAR 20260913,Registered
C-FNPJ,c023e4,B767-300,767-316F,30780,2025-07-02,,TC CCAR 20260913,Registered
C-FPCJ,c027da,B767-300,767-306,27958,2022-07-08,,TC CCAR 20260913,Registered
C-FPIJ,c02876,B767-300,767-33A,27918,2014-11-06,,TC CCAR 20260913,Registered
C-FZPJ,c04394,B767-300,767-33A,27377,2026-03-04,,TC CCAR 20260913,Registered
C-GAAJ,c044b2,B767-300,767-323,25449,2019-01-17,,TC CCAR 20260913,Registered
C-GAJG,c04599,B767-300,767-323,25446,2018-11-23,,TC CCAR 20260913,Registered
C-GAZF,c04738,B767-300,767-338,25363,2021-06-25,,TC CCAR 20260913,Registered
C-GAZI,c0473b,B767-300,767-338,25576,2021-07-13,,TC CCAR 20260913,Registered
C-GCIJ,c04aca,B767-300,767-306,26263,2016-01-04,,TC CCAR 20260913,Registered
C-GOCJ,c069de,B767-300,767-316,29227,2020-11-06,,TC CCAR 20260913,Registered
C-GPAJ,c06c4e,B767-300,767-38A,29617,2025-05-16,,TC CCAR 20260913,Registered
C-GPDJ,c06c9c,B767-300,767-3Q8,29383,2025-06-10,,TC CCAR 20260913,Registered
C-GUAJ,c07982,B767-300,767-35E,26063,2014-10-09,,TC CCAR 20260913,Registered
C-GVIJ,c07cf6,B767-300,767-328,27212,2015-03-09,,TC CCAR 20260913,Registered
C-GXAJ,c0816e,B767-300,767-323,25196,2018-11-01,,TC CCAR 20260913,Registered
C-GYAJ,c08412,B767-300,767-35E,26064,2014-10-09,,TC CCAR 20260913,Registered
