dep,arr,dep_country,arr_country,dep_continent,arr_continent,flights,cycles,block_h,median_block_h,gc_km,night_share,inferred_share,suspect_share,first_seen,last_seen,callsigns,aircraft,suggested,segment
YVR,YHM,CA,CA,NA,NA,146,146,612.99,4.16,3349.0,0.233,0.0,0.0,2025-04-02T03:01:17Z,2026-09-10T15:05:44Z,00000000 CJT1804 CJT1806 CJT2384 CJT2386,33,domestic,domestic
YHM,YVR,CA,CA,NA,NA,110,110,538.93,4.9,3349.0,0.964,0.0,0.0,2025-04-02T02:11:42Z,2026-09-10T08:24:51Z,00000000 0CJT2401 CJT1803 CJT1805 CJT1806,32,domestic,domestic
MIA,MIA,US,US,NA,NA,76,152,506.74,4.28,0.0,0.658,0.0,0.0,2025-04-02T03:36:36Z,2026-08-24T01:04:53Z,CJT1001 CJT1002 CJT1507 CJT1510 CJT241,13,?,acmi
YYC,YHM,CA,CA,NA,NA,103,103,366.46,3.55,2696.4,0.427,0.0,0.0,2025-04-02T04:33:53Z,2026-09-10T12:21:57Z,00000000 584 CJT1571 CJT2382 CJT2386,25,domestic,domestic
YHM,YYC,CA,CA,NA,NA,74,74,303.86,4.13,2696.4,0.514,0.0,0.0,2025-04-02T05:25:57Z,2026-09-10T16:02:41Z,000000 CJT301 CJT3301 CJT482 CJT575,34,domestic,domestic
YHM,YWG,CA,CA,NA,NA,102,102,256.17,2.52,1516.1,0.99,0.0,0.0,2025-04-02T05:12:02Z,2026-09-10T05:39:54Z,00000000 CJT1574 CJT2484 CJT500 CJT551,37,domestic,domestic
CVG,YVR,US,CA,NA,NA,47,47,222.23,4.71,3233.5,0.957,0.0,0.0,2025-04-02T10:18:17Z,2026-09-10T10:23:55Z,CJT0949 CJT1926 CJT950,25,?,charter
NRT,YVR,JP,CA,AS,NA,24,24,211.04,8.74,7502.9,0.917,0.0,0.0,2025-04-02T03:39:38Z,2026-08-24T10:51:56Z,CJT1802 CJT1808 CJT1810 CJT3220 CJT3232,12,charter,charter
YVR,CVG,CA,US,NA,NA,47,47,196.89,4.18,3233.5,0.915,0.0,0.0,2025-04-02T02:01:12Z,2026-09-10T02:10:42Z,00000000 CJT1925 CJT2925,24,?,charter
YVR,NRT,CA,JP,NA,AS,19,19,191.86,10.04,7502.9,0.895,0.0,0.0,2025-04-02T01:14:42Z,2025-09-11T00:50:27Z,CJT1801 CJT1807,9,charter,charter
CVG,NLU,US,MX,NA,NA,50,50,189.86,3.63,2549.8,0.66,0.0,0.0,2025-04-02T10:48:20Z,2026-09-10T11:39:34Z,CJT2039 CJT905 CJT920 CJT952,17,acmi,acmi
