kvartal,rapportdag,timmar,blocktimmar_indata,timmar_yoy,mått,prognos,konsensus,prognos_vs_konsensus,utfall,utfall_vs_konsensus,rätt,kurs_rapportdag_pct
2024Q2,2024-08-13,rapporterade (MD&A),17623.0,0.047803079850169405,Omsättning,230.4325492069782,234.13,UNDER,230.8,UNDER,True,2.521703183133517
2024Q3,2024-11-04,rapporterade (MD&A),18928.0,0.1491015055852356,Omsättning,240.41333103213168,247.29,UNDER,245.6,UNDER,True,-6.534582132564859
2024Q4,2025-02-17,rapporterade (MD&A),21307.0,0.16095461232496056,Omsättning,264.3534181034846,272.83,UNDER,293.2,ÖVER,False,2.0709245853569147
2025Q1,2025-04-23,rapporterade (MD&A),17336.0,0.0012128212532487304,Omsättning,220.2048117304633,260.15,UNDER,249.9,UNDER,True,15.342032423882968
2025Q2,2025-08-06,rapporterade (MD&A),15840.0,-0.10117460137320544,Omsättning,216.83053315249904,250.02,UNDER,238.2,UNDER,True,-0.07090761750404573
2025Q3,2025-11-04,rapporterade (MD&A),15861.0,-0.16203508030431102,Omsättning,228.7814159774849,240.38,UNDER,219.9,UNDER,True,-13.89442231075697
2025Q4,2026-02-24,rapporterade (MD&A),19153.0,-0.10109353733514803,Omsättning,292.0545660362875,254.12,ÖVER,284.7,ÖVER,True,1.3049676499616192
2026Q1,2026-05-04,rapporterade (MD&A),16994.0,-0.019727734194739277,Omsättning,274.0319029970049,243.0,ÖVER,254.7,ÖVER,True,2.982107355864816
2026Q2,2026-08-10,rapporterade (MD&A),15787.0,-0.0033459595959596244,Omsättning,274.170665907397,256.99,ÖVER,275.8,ÖVER,True,8.590308370044042
2026Q3,2026-11-10,ADS-B stickprov (sample_11d_segment_weighted),16481.759675931156,0.0391374866610652,Omsättning,260.4861680285718,265.36,UNDER,,–,,
