"Date","Price","Open","High","Low","Vol.","Change %"
"09/11/2026","80.22","79.50","81.14","79.49","120.10K","1.06%"
"09/10/2026","79.38","76.61","79.40","76.51","222.08K","3.62%"
"09/09/2026","76.61","75.52","77.30","75.20","109.76K","0.47%"
"09/08/2026","76.25","79.00","79.00","75.68","179.23K","-3.77%"
"09/04/2026","79.24","80.25","80.71","79.10","103.43K","-1.49%"
"09/03/2026","80.44","80.75","81.03","79.00","356.68K","0.06%"
"09/02/2026","80.39","82.09","82.09","79.75","295.67K","-1.22%"
"09/01/2026","81.38","84.04","84.24","80.98","393.19K","-3.72%"
"08/31/2026","84.52","84.73","84.90","83.49","287.91K","-0.72%"
"08/28/2026","85.13","84.00","85.18","83.78","314.54K","1.44%"
"08/27/2026","83.92","85.00","85.00","83.35","310.21K","-1.50%"
"08/26/2026","85.20","86.35","86.35","84.80","174.62K","-0.80%"
"08/25/2026","85.89","84.95","86.84","84.95","103.92K","1.21%"
"08/24/2026","84.86","86.00","87.31","84.50","228.62K","-1.81%"
"08/21/2026","86.42","86.56","87.51","85.64","171.62K","0.42%"
"08/20/2026","86.06","87.50","87.79","85.69","361.31K","-1.97%"
"08/19/2026","87.79","88.76","89.00","87.27","208.89K","-1.12%"
"08/18/2026","88.78","89.00","89.54","87.99","121.98K","-0.12%"
"08/17/2026","88.89","89.15","90.27","88.31","248.86K","-0.41%"
"08/14/2026","89.26","91.89","91.89","89.01","245.54K","-2.55%"
"08/13/2026","91.60","92.91","93.24","90.29","501.03K","-1.39%"
"08/12/2026","92.89","94.38","97.39","92.02","189.90K","-0.83%"
"08/11/2026","93.67","86.27","94.53","86.26","337.92K","8.59%"
"08/10/2026","86.26","86.61","87.00","85.50","86.96K","-0.63%"
"08/07/2026","86.81","87.48","88.03","85.99","75.92K","-0.69%"
"08/06/2026","87.41","88.63","88.63","86.64","68.55K","-1.40%"
"08/05/2026","88.65","88.73","89.88","87.45","54.55K","0.16%"
"08/04/2026","88.51","86.02","88.73","85.66","84.15K","4.76%"
"07/31/2026","84.49","84.21","84.98","84.00","23.00K","-0.33%"
"07/30/2026","84.77","85.54","86.10","84.01","57.18K","-0.95%"
"07/29/2026","85.58","85.52","85.97","84.56","40.18K","-0.62%"
"07/28/2026","86.11","84.72","86.80","84.56","85.12K","1.23%"
"07/27/2026","85.06","86.81","86.81","84.65","61.84K","-0.48%"
"07/24/2026","85.47","85.11","87.15","84.70","34.16K","0.42%"
"07/23/2026","85.11","86.01","86.01","84.33","51.59K","-1.09%"
"07/22/2026","86.05","87.61","88.56","85.34","62.41K","-2.29%"
"07/21/2026","88.07","88.37","89.20","87.01","55.38K","-0.34%"
"07/20/2026","88.37","86.00","88.50","85.95","62.90K","2.73%"
"07/17/2026","86.02","85.99","86.93","85.00","66.04K","-0.51%"
"07/16/2026","86.46","84.20","86.89","84.20","62.70K","2.65%"
"07/15/2026","84.23","84.26","85.47","82.73","45.79K","0.47%"
"07/14/2026","83.84","87.08","87.50","83.33","84.61K","-3.60%"
"07/13/2026","86.97","87.32","88.23","86.49","103.52K","-0.34%"
"07/10/2026","87.27","88.25","88.52","87.17","39.97K","-1.10%"
"07/09/2026","88.24","86.26","90.15","86.26","114.92K","2.35%"
"07/08/2026","86.21","85.55","86.46","84.97","84.05K","-0.83%"
"07/07/2026","86.93","85.59","87.49","85.59","99.46K","0.39%"
"07/06/2026","86.59","87.18","87.20","86.10","29.67K","-0.32%"
"07/03/2026","86.87","85.38","87.25","85.38","48.92K","1.80%"
"07/02/2026","85.33","84.90","85.55","83.92","47.18K","0.72%"
"06/30/2026","84.72","83.02","84.72","83.00","60.16K","1.69%"
"06/29/2026","83.31","81.56","83.65","81.56","66.37K","2.33%"
"06/26/2026","81.41","80.04","81.66","79.90","42.64K","1.34%"
"06/25/2026","80.33","79.99","81.51","79.70","58.98K","1.31%"
"06/24/2026","79.29","80.82","83.37","78.89","136.24K","-2.22%"
"06/23/2026","81.09","80.95","81.76","80.82","48.53K","-0.28%"
"06/22/2026","81.32","81.42","82.34","81.00","30.86K","-0.37%"
